"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00066119","MOUNT KURING GAI LEDORA FARM, AS","-33.6403","151.1412","215.0","2017-12-31",,,,,,,,,,,,,,,"0.4",",,a",,,,,,
"ASN00066164","ROOKWOOD HAWTHORNE AVE, AS","-33.8771","151.0577","41.0","2017-12-31",,,,,,,,,,,,,,,"4.6",",,a",,,,,,
"ASN00068024","DARKES FOREST KINTYRE, AS","-34.2272","150.9111","370.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00066047","PENNANT HILLS YARRARA ROAD, AS","-33.7324","151.0767","173.0","2017-12-31",,,,,,,,,,,,,,,"2.4",",,a",,,,,,
"ASN00066124","PARRAMATTA NORTH MASONS DRIVE, AS","-33.7917","151.0181","55.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,"27.5",",,a","19.8",",,a"
"ASN00066168","MILPERRA BRIDGE GEORGES RIVER, AS","-33.9289","150.9831",,"2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00066126","COLLAROY LONG REEF GOLF CLUB, AS","-33.7407","151.3077","2.0","2017-12-31",,,,,,,,,,,,,,,"0.6",",,a",,,,,,
"ASN00067014","MAROOTA ROBERTS ROAD, AS","-33.4623","151.0034","203.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00067015","BRINGELLY MARYLAND, AS","-33.9696","150.725","122.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00066080","CASTLE COVE ROSEBRIDGE AVE, AS","-33.7809","151.2044","75.0","2017-12-31",,,,,,,,,,,,,,,"5.0",",,a",,,,,,
"ASN00066128","PALM BEACH SUNRISE ROAD, AS","-33.5965","151.3221","60.0","2017-12-31",,,,,,,,,,,,,,,"0.4",",,a",,,,,,
"ASN00066006","SYDNEY BOTANIC GARDENS, AS","-33.8662","151.216","15.0","2017-12-31",,,,,,,,,,,,,,,"1.4",",,a",,,,,,
"ASN00066204","OYSTER BAY GREEN POINT ROAD, AS","-34.0009","151.0738","50.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00066206","ST IVES RICHMOND AVENUE, AS","-33.7096","151.173","170.0","2017-12-31",,,,,,,,,,,,,,,"3.0",",,a",,,,,,
"ASN00067019","PROSPECT RESERVOIR, AS","-33.8193","150.9127","61.0","2017-12-31",,,,,,,,,,,,,,,"0.2",",,a",,,,,"20.2",",,a"
"ASN00066098","ROSE BAY ROYAL SYDNEY GOLF CL, AS","-33.8809","151.2658","8.0","2017-12-31",,,,,,,,,,,,,,,"6.4",",,a",,,,,,
"ASN00067023","CANOELANDS CANOELANDS, AS","-33.4972","151.0931","195.0","2017-12-31",,,,,,,,,,,,,,,"5.4",",,a",,,,,,
"ASN00067021","RICHMOND UWS HAWKESBURY, AS","-33.6165","150.7477","20.0","2017-12-31","    2",",,a",,,,,"    2",",,a","4.2",",,a",,,,,,,,,,,,
"ASN00066011","CHATSWOOD BOWLING CLUB, AS","-33.8","151.2",,"2017-12-31",,,,,,,,,,,,,,,"1.0",",,a",,,,,,
"ASN00066176","AUDLEY ROYAL NATIONAL PARK, AS","-34.0658","151.0567","120.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00066058","SANS SOUCI PUBLIC SCHOOL, AS","-33.9942","151.1292","9.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00067027","WARRAGAMBA, AS","-33.8902","150.5934","185.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00067104","BOX HILL HYNDS ROAD, AS","-33.6617","150.9","27.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00067105","RICHMOND RAAF, AS","-33.6004","150.7761","19.0","2017-12-31",,,,,,,,,,,,,,,"0.4",",,a",,,"30.6",",,a","19.8",",,a"
"ASN00066137","BANKSTOWN AIRPORT AWS, AS","-33.9181","150.9864","6.5","2017-12-31",,,,,,,,,,,,,,,"0.2",",,a",,,"27.8",",,a","21.2",",,a"
"ASN00066059","TERREY HILLS AWS, AS","-33.6908","151.2253","199.0","2017-12-31",,,,,,,,,,,,,,,,,,,"24.9",",,a","18.6",",,a"
"ASN00067026","SEVEN HILLS COLLINS ST, AS","-33.7704","150.9318","50.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00068159","WEDDERBURN BOOALBYN, AS","-34.1653","150.8097","250.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
